,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
0,mobileOG_000725735|NA:Keyword|A0A0C5V5L1|integration/excision|NA|ISFinder|Keyword Search,CP007221_1_19 # 20167 # 20685 # 1 # ID=1_19;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.601,100.0,340.1,318,2.1e-92,173,156,318,10,172,mobileOG_000725735,NA:Keyword,A0A0C5V5L1,integration/excision,NA,ISFinder,Keyword Search,CP007221_1_19, 20167 # 20685 # 1 , 20167,20685,1 ,1_19,1,19,00,GTG,GGA/GAG/AGG,11-12bp,0.601,CP007221_1,mobileOG_000725735_CP007221_1
11,mobileOG_000031930|gpU|A0A0C5UXZ9|phage|structural|ACLAME|Homology,CP007221_1_1492 # 1661072 # 1661473 # -1 # ID=1_1492;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.647,100.0,263.5,133,1.9e-69,134,1,133,1,133,mobileOG_000031930,gpU,A0A0C5UXZ9,phage,structural,ACLAME,Homology,CP007221_1_1492, 1661072 # 1661473 # -1 , 1661072,1661473,-1 ,1_1492,1,1492,00,ATG,GGAG/GAGG,5-10bp,0.647,CP007221_1,mobileOG_000031930_CP007221_1
12,mobileOG_000031937|E'|A0A0C5VA12|phage|structural|ACLAME|Homology,CP007221_1_1494 # 1664389 # 1664502 # -1 # ID=1_1494;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.675,100.0,84.7,37,3.4e-16,38,1,37,1,37,mobileOG_000031937,E',A0A0C5VA12,phage,structural,ACLAME,Homology,CP007221_1_1494, 1664389 # 1664502 # -1 , 1664389,1664502,-1 ,1_1494,1,1494,00,ATG,GGAG/GAGG,5-10bp,0.675,CP007221_1,mobileOG_000031937_CP007221_1
13,mobileOG_000031938|E|A0A0C5UIW8|phage|structural|ACLAME|Homology,CP007221_1_1495 # 1664511 # 1664813 # -1 # ID=1_1495;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.637,100.0,191.4,100,6.9e-48,101,1,100,1,100,mobileOG_000031938,E,A0A0C5UIW8,phage,structural,ACLAME,Homology,CP007221_1_1495, 1664511 # 1664813 # -1 , 1664511,1664813,-1 ,1_1495,1,1495,00,ATG,GGA/GAG/AGG,5-10bp,0.637,CP007221_1,mobileOG_000031938_CP007221_1
14,mobileOG_000031932|FII|A0A0C5UI21|phage|structural|ACLAME|Homology,CP007221_1_1496 # 1664859 # 1665368 # -1 # ID=1_1496;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.624,100.0,338.6,169,5.9e-92,170,1,169,1,169,mobileOG_000031932,FII,A0A0C5UI21,phage,structural,ACLAME,Homology,CP007221_1_1496, 1664859 # 1665368 # -1 , 1664859,1665368,-1 ,1_1496,1,1496,00,ATG,GGAG/GAGG,5-10bp,0.624,CP007221_1,mobileOG_000031932_CP007221_1
15,mobileOG_000031113|lys|A0A0C5UY16|phage|lysis/lysogeny|ACLAME|Homology,CP007221_1_1508 # 1673724 # 1674362 # -1 # ID=1_1508;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.665,100.0,431.0,212,1.1e-119,213,1,212,1,212,mobileOG_000031113,lys,A0A0C5UY16,phage,lysis/lysogeny,ACLAME,Homology,CP007221_1_1508, 1673724 # 1674362 # -1 , 1673724,1674362,-1 ,1_1508,1,1508,00,ATG,GGA/GAG/AGG,5-10bp,0.665,CP007221_1,mobileOG_000031113_CP007221_1
16,"mobileOG_000031924|M|A0A0M1LE80|phage|infection,regulation|ACLAME|Homology",CP007221_1_1513 # 1675767 # 1676486 # -1 # ID=1_1513;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.699,100.0,457.2,239,1.5999999999999999e-127,240,1,239,1,239,mobileOG_000031924,M,A0A0M1LE80,phage,"infection,regulation",ACLAME,Homology,CP007221_1_1513, 1675767 # 1676486 # -1 , 1675767,1676486,-1 ,1_1513,1,1513,00,ATG,GGAG/GAGG,5-10bp,0.699,CP007221_1,mobileOG_000031924_CP007221_1
17,mobileOG_000277177|NA|A0A5Q7MRG5|integration/excision|NA|ISFinder|Homology,CP007221_1_1740 # 1922920 # 1923075 # 1 # ID=1_1740;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.590,100.0,89.0,368,2.5e-17,52,42,86,5,49,mobileOG_000277177,NA,A0A5Q7MRG5,integration/excision,NA,ISFinder,Homology,CP007221_1_1740, 1922920 # 1923075 # 1 , 1922920,1923075,1 ,1_1740,1,1740,00,ATG,None,None,0.590,CP007221_1,mobileOG_000277177_CP007221_1
18,mobileOG_000277177|NA|A0A5Q7MRG5|integration/excision|NA|ISFinder|Homology,CP007221_1_2000 # 2218762 # 2218965 # 1 # ID=1_2000;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593,100.0,135.6,368,3e-31,68,22,86,1,65,mobileOG_000277177,NA,A0A5Q7MRG5,integration/excision,NA,ISFinder,Homology,CP007221_1_2000, 2218762 # 2218965 # 1 , 2218762,2218965,1 ,1_2000,1,2000,00,ATG,GGAG/GAGG,5-10bp,0.593,CP007221_1,mobileOG_000277177_CP007221_1
19,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP007221_1_2048 # 2278208 # 2279176 # -1 # ID=1_2048;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.614,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP007221_1_2048, 2278208 # 2279176 # -1 , 2278208,2279176,-1 ,1_2048,1,2048,00,ATG,AGGAG,5-10bp,0.614,CP007221_1,mobileOG_000277174_CP007221_1
20,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP007221_1_2127 # 2380940 # 2381908 # 1 # ID=1_2127;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.614,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP007221_1_2127, 2380940 # 2381908 # 1 , 2380940,2381908,1 ,1_2127,1,2127,00,ATG,AGGAG,5-10bp,0.614,CP007221_1,mobileOG_000277174_CP007221_1
21,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP007221_1_2388 # 2694164 # 2695132 # 1 # ID=1_2388;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.614,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP007221_1_2388, 2694164 # 2695132 # 1 , 2694164,2695132,1 ,1_2388,1,2388,00,ATG,AGGAG,5-10bp,0.614,CP007221_1,mobileOG_000277174_CP007221_1
22,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP007221_1_2608 # 2920593 # 2921561 # 1 # ID=1_2608;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.613,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP007221_1_2608, 2920593 # 2921561 # 1 , 2920593,2921561,1 ,1_2608,1,2608,00,ATG,AGGAG,5-10bp,0.613,CP007221_1,mobileOG_000277174_CP007221_1
23,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP007221_1_2975 # 3316129 # 3317097 # 1 # ID=1_2975;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.614,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP007221_1_2975, 3316129 # 3317097 # 1 , 3316129,3317097,1 ,1_2975,1,2975,00,ATG,AGGAG,5-10bp,0.614,CP007221_1,mobileOG_000277174_CP007221_1
24,mobileOG_000725735|NA:Keyword|A0A0C5V5L1|integration/excision|NA|ISFinder|Keyword Search,CP007221_1_3107 # 3452403 # 3453359 # -1 # ID=1_3107;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623,100.0,616.3,318,2.8e-175,319,1,318,1,318,mobileOG_000725735,NA:Keyword,A0A0C5V5L1,integration/excision,NA,ISFinder,Keyword Search,CP007221_1_3107, 3452403 # 3453359 # -1 , 3452403,3453359,-1 ,1_3107,1,3107,00,ATG,GGAG/GAGG,5-10bp,0.623,CP007221_1,mobileOG_000725735_CP007221_1
25,mobileOG_000725735|NA:Keyword|A0A0C5V5L1|integration/excision|NA|ISFinder|Keyword Search,CP007221_1_3149 # 3506648 # 3507604 # -1 # ID=1_3149;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623,100.0,616.3,318,2.8e-175,319,1,318,1,318,mobileOG_000725735,NA:Keyword,A0A0C5V5L1,integration/excision,NA,ISFinder,Keyword Search,CP007221_1_3149, 3506648 # 3507604 # -1 , 3506648,3507604,-1 ,1_3149,1,3149,00,ATG,GGAG/GAGG,5-10bp,0.623,CP007221_1,mobileOG_000725735_CP007221_1
26,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP007221_1_3383 # 3787700 # 3788668 # -1 # ID=1_3383;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.614,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP007221_1_3383, 3787700 # 3788668 # -1 , 3787700,3788668,-1 ,1_3383,1,3383,00,ATG,AGGAG,5-10bp,0.614,CP007221_1,mobileOG_000277174_CP007221_1
27,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP007221_1_3388 # 3792207 # 3793175 # -1 # ID=1_3388;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.615,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP007221_1_3388, 3792207 # 3793175 # -1 , 3792207,3793175,-1 ,1_3388,1,3388,00,ATG,AGGAG,5-10bp,0.615,CP007221_1,mobileOG_000277174_CP007221_1
28,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP007221_1_3504 # 3922406 # 3923374 # 1 # ID=1_3504;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.614,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP007221_1_3504, 3922406 # 3923374 # 1 , 3922406,3923374,1 ,1_3504,1,3504,00,ATG,AGGAG,5-10bp,0.614,CP007221_1,mobileOG_000277174_CP007221_1
29,mobileOG_000725735|NA:Keyword|A0A0C5V5L1|integration/excision|NA|ISFinder|Keyword Search,CP007221_1_3928 # 4373265 # 4374221 # -1 # ID=1_3928;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623,100.0,616.3,318,2.8e-175,319,1,318,1,318,mobileOG_000725735,NA:Keyword,A0A0C5V5L1,integration/excision,NA,ISFinder,Keyword Search,CP007221_1_3928, 4373265 # 4374221 # -1 , 4373265,4374221,-1 ,1_3928,1,3928,00,ATG,GGAG/GAGG,5-10bp,0.623,CP007221_1,mobileOG_000725735_CP007221_1
30,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP007221_1_4203 # 4687447 # 4688187 # 1 # ID=1_4203;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.613,100.0,484.6,322,9.7e-136,247,82,322,6,246,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP007221_1_4203, 4687447 # 4688187 # 1 , 4687447,4688187,1 ,1_4203,1,4203,00,ATG,None,None,0.613,CP007221_1,mobileOG_000277174_CP007221_1
31,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP007221_1_4273 # 4775960 # 4776928 # 1 # ID=1_4273;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.614,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP007221_1_4273, 4775960 # 4776928 # 1 , 4775960,4776928,1 ,1_4273,1,4273,00,ATG,AGGAG,5-10bp,0.614,CP007221_1,mobileOG_000277174_CP007221_1
32,mobileOG_000725735|NA:Keyword|A0A0C5V5L1|integration/excision|NA|ISFinder|Keyword Search,CP007221_1_4322 # 4844316 # 4844867 # 1 # ID=1_4322;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.612,100.0,377.5,318,1.2e-103,184,138,318,3,183,mobileOG_000725735,NA:Keyword,A0A0C5V5L1,integration/excision,NA,ISFinder,Keyword Search,CP007221_1_4322, 4844316 # 4844867 # 1 , 4844316,4844867,1 ,1_4322,1,4322,00,ATG,None,None,0.612,CP007221_1,mobileOG_000725735_CP007221_1
33,mobileOG_000725735|NA:Keyword|A0A0C5V5L1|integration/excision|NA|ISFinder|Keyword Search,CP007221_1_4337 # 4863921 # 4864877 # -1 # ID=1_4337;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.625,100.0,616.3,318,2.8e-175,319,1,318,1,318,mobileOG_000725735,NA:Keyword,A0A0C5V5L1,integration/excision,NA,ISFinder,Keyword Search,CP007221_1_4337, 4863921 # 4864877 # -1 , 4863921,4864877,-1 ,1_4337,1,4337,00,ATG,GGAG/GAGG,5-10bp,0.625,CP007221_1,mobileOG_000725735_CP007221_1
34,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP007221_1_4376 # 4910873 # 4911841 # -1 # ID=1_4376;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.614,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP007221_1_4376, 4910873 # 4911841 # -1 , 4910873,4911841,-1 ,1_4376,1,4376,00,ATG,AGGAG,5-10bp,0.614,CP007221_1,mobileOG_000277174_CP007221_1
35,mobileOG_000277174|insH6|A0A0C5V4U8|integration/excision|NA|ISFinder|Homology,CP007221_1_4483 # 5037452 # 5038420 # -1 # ID=1_4483;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.615,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000277174,insH6,A0A0C5V4U8,integration/excision,NA,ISFinder,Homology,CP007221_1_4483, 5037452 # 5038420 # -1 , 5037452,5038420,-1 ,1_4483,1,4483,00,ATG,AGGAG,5-10bp,0.615,CP007221_1,mobileOG_000277174_CP007221_1
