Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly BioSample Accession	CheckM completeness	CheckM contamination
GCA_000961215.1	ASM96121v1	Xanthomonas citri pv. citri		MN12					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911843	99.2	0.37
GCF_000961215.1	ASM96121v1	Xanthomonas citri pv. citri		MN12					GCF_000961215.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911843	99.2	0.37
GCA_008370835.2	ASM837083v2	Xanthomonas oryzae pv. oryzicola		GX01					Annotation submitted by Guangxi University	Complete Genome	2019-09-12		2							PacBio RSII; Illumina GAIIx; 454	SAMN12342405	95.52	0.96
GCF_008370835.2	ASM837083v2	Xanthomonas oryzae pv. oryzicola		GX01					GCF_008370835.2-RS_2024_05_06	Complete Genome	2019-09-12		2							PacBio RSII; Illumina GAIIx; 454	SAMN12342405	95.52	0.96
GCA_013388375.1	ASM1338837v1	Xanthomonas campestris pv. raphani		MAFF106181					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-07-04		1							PacBio RSII; Illumina HiSeq	SAMN15347475	99.08	1.19
GCF_013388375.1	ASM1338837v1	Xanthomonas campestris pv. raphani		MAFF106181					GCF_013388375.1-RS_2024_05_06	Complete Genome	2020-07-04		1							PacBio RSII; Illumina HiSeq	SAMN15347475	99.08	1.19
GCA_905367715.1	Xanthomonas sp. CPBF 1494 hybrid assembly 2	Xanthomonas arboricola pv. juglandis					Xanthomonas arboricola pv. juglandis CPBF 1494 isolated from C. illinoinensis		Annotation submitted by CIBIO-Inbio	Complete Genome	2021-03-24		1								SAMEA8241779	99.77	0.8
GCF_905367715.1	Xanthomonas sp. CPBF 1494 hybrid assembly 2	Xanthomonas arboricola pv. juglandis					Xanthomonas arboricola pv. juglandis CPBF 1494 isolated from C. illinoinensis		GCF_905367715.1-RS_2024_05_12	Complete Genome	2021-03-24		1								SAMEA8241779	99.77	0.8
GCA_017301775.1	ASM1730177v1	Xanthomonas translucens pv. undulosa		XtLr8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-03-08		3							Oxford Nanopore PromethION	SAMN16598364	96.7	1.68
GCF_017301775.1	ASM1730177v1	Xanthomonas translucens pv. undulosa		XtLr8					GCF_017301775.1-RS_2024_05_06	Complete Genome	2021-03-08		3							Oxford Nanopore PromethION	SAMN16598364	96.7	1.68
GCA_002285515.1	ASM228551v1	Xanthomonas hortorum		B07-007					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-09-05		2							Illumina HiSeq 2000; PacBio	SAMN03481245	99.57	0.85
GCF_002285515.1	ASM228551v1	Xanthomonas hortorum		B07-007					GCF_002285515.1-RS_2024_05_05	Complete Genome	2017-09-05		2							Illumina HiSeq 2000; PacBio	SAMN03481245	99.57	0.85
GCA_008639345.1	ASM863934v1	Xanthomonas phaseoli pv. dieffenbachiae		D182					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-23		2							PacBio RSII	SAMN12163446	99.17	0.25
GCF_008639345.1	ASM863934v1	Xanthomonas phaseoli pv. dieffenbachiae		D182					GCF_008639345.1-RS_2024_08_16	Complete Genome	2019-09-23		2							PacBio RSII	SAMN12163446	99.17	0.25
GCA_013177355.1	ASM1317735v1	Xanthomonas axonopodis pv. vasculorum		NCPPB 796					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-05-27		3							Oxford Nanopore MiniION; Illumina MiSeq	SAMN14772551	84.31	0.66
GCF_013177355.1	ASM1317735v1	Xanthomonas axonopodis pv. vasculorum		NCPPB 796					GCF_013177355.1-RS_2024_05_06	Complete Genome	2020-05-27		3							Oxford Nanopore MiniION; Illumina MiSeq	SAMN14772551	84.31	0.66
GCA_000277895.2	ASM27789v2	Xanthomonas vasicola pv. musacearum NCPPB 4379		NCPPB 4379					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-27		2							PacBio Sequel	SAMN00991242	97.34	0.46
GCF_000277895.2	ASM27789v2	Xanthomonas vasicola pv. musacearum NCPPB 4379		NCPPB 4379					GCF_000277895.2-RS_2024_05_06	Complete Genome	2018-12-27		2							PacBio Sequel	SAMN00991242	97.34	0.46
GCA_028010245.1	ASM2801024v1	Xanthomonas perforans		GEV872					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-01-26		4							PacBio Sequel; Illumina MiSeq	SAMN32758707	99.84	0.53
GCF_028010245.1	ASM2801024v1	Xanthomonas perforans		GEV872					GCF_028010245.1-RS_2024_09_08	Complete Genome	2023-01-26		4							PacBio Sequel; Illumina MiSeq	SAMN32758707	99.84	0.53
GCA_009931595.1	ASM993159v1	Xanthomonas albilineans		Xa-FJ1					Annotation submitted by Fujian Agriculture and Forestry University	Complete Genome	2020-01-27		2							PacBio RSII; Illumina HiSeq	SAMN12905433	88.46	2.77
GCF_009931595.1	ASM993159v1	Xanthomonas albilineans		Xa-FJ1					GCF_009931595.1-RS_2024_05_06	Complete Genome	2020-01-27		2							PacBio RSII; Illumina HiSeq	SAMN12905433	88.46	2.77
GCA_025266575.1	ASM2526657v1	Xanthomonas prunicola		CIX249					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-19		1							Oxford Nanopore MinION	SAMN27632077	99.54	0.03
GCF_025266575.1	ASM2526657v1	Xanthomonas prunicola		CIX249					GCF_025266575.1-RS_2024_05_06	Complete Genome	2022-09-19		1							Oxford Nanopore MinION	SAMN27632077	99.54	0.03
GCA_009883735.1	ASM988373v1	Xanthomonas cucurbitae		ATCC 23378					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-01-15		2							Oxford Nanopore GridION; Illumina MiSeq	SAMN10290145	96.53	1.58
GCF_009883735.1	ASM988373v1	Xanthomonas cucurbitae		ATCC 23378					GCF_009883735.1-RS_2024_05_06	Complete Genome	2020-01-15		2							Oxford Nanopore GridION; Illumina MiSeq	SAMN10290145	96.53	1.58
GCA_040616535.1	ASM4061653v1	Xanthomonas cannabis		DAR41331					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-07-11		1							Oxford Nanopore PromethION	SAMN35449586	98.75	0.25
GCF_040616535.1	ASM4061653v1	Xanthomonas cannabis		DAR41331					GCF_040616535.1-RS_2024_07_11	Complete Genome	2024-07-12		1							Oxford Nanopore PromethION	SAMN35449586	98.75	0.25
GCA_903989455.1	ASM90398945v1	Xanthomonas euroxanthea					1		Annotation submitted by CIBIO-Inbio	Complete Genome	2020-07-28		2								SAMEA7068330	98.97	0.07
GCF_903989455.1	ASM90398945v1	Xanthomonas euroxanthea					1		GCF_903989455.1-RS_2024_05_06	Complete Genome	2020-07-28		2								SAMEA7068330	98.97	0.07
GCA_032698475.1	ASM3269847v1	Xanthomonas dyei		22-321					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-16		1							Illumina HiSeq, Oxford Nanopore MinION	SAMN30526386	99.41	1.27
GCF_032698475.1	ASM3269847v1	Xanthomonas dyei		22-321					GCF_032698475.1-RS_2024_05_12	Complete Genome	2023-10-16		1							Illumina HiSeq, Oxford Nanopore MinION	SAMN30526386	99.41	1.27
GCA_032697525.1	ASM3269752v1	Xanthomonas hydrangeae		22-323					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-16		1							Illumina HiSeq, Oxford Nanopore MinION	SAMN30526388	99.45	1.4
GCF_032697525.1	ASM3269752v1	Xanthomonas hydrangeae		22-323					GCF_032697525.1-RS_2024_05_12	Complete Genome	2023-10-16		1							Illumina HiSeq, Oxford Nanopore MinION	SAMN30526388	99.45	1.4
GCF_000454545.1	20120625	Xanthomonas cassavae CFBP 4642		CFBP 4642					GCF_000454545.1-RS_2024_05_05	Chromosome	2013-08-29	ATMC01	7							Illumina HiSeq	SAMN02469933	98.11	0.86
GCA_021474205.1	ASM2147420v1	Xanthomonas citri pv. glycines		ICMP5732					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-15		3							Illumina; NanoPore	SAMN22870845	99.27	2.22
GCF_021474205.1	ASM2147420v1	Xanthomonas citri pv. glycines		ICMP5732					GCF_021474205.1-RS_2024_05_12	Complete Genome	2022-01-15		3							Illumina; NanoPore	SAMN22870845	99.27	2.22
GCA_000723725.2	ASM72372v2	Xanthomonas citri pv. viticola		LMG 965					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-29		2							Oxford Nanopore MinION; Illumina MiSeq	SAMEA3139044	99.48	
GCF_000723725.2	ASM72372v2	Xanthomonas citri pv. viticola		LMG 965					GCF_000723725.2-RS_2024_05_12	Complete Genome	2023-11-29		2							Oxford Nanopore MinION; Illumina MiSeq	SAMEA3139044	99.48	
GCA_002218265.1	ASM221826v1	Xanthomonas citri pv. vignicola		CFBP7112					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-07-13		3							PacBio	SAMN07252091	99.06	0.59
GCF_002218265.1	ASM221826v1	Xanthomonas citri pv. vignicola		CFBP7112					GCF_002218265.1-RS_2024_05_05	Complete Genome	2017-07-13		3							PacBio	SAMN07252091	99.06	0.59
GCA_004136375.1	ASM413637v1	Xanthomonas oryzae pv. oryzae		ICMP3125					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-02-04		1							PacBio RSII	SAMN09791860	94.41	0.25
GCF_004136375.1	ASM413637v1	Xanthomonas oryzae pv. oryzae		ICMP3125					GCF_004136375.1-RS_2024_05_06	Complete Genome	2019-02-04		1							PacBio RSII	SAMN09791860	94.41	0.25
GCA_040202085.2	NCPPB5234_v2_ONT	Xanthomonas oryzae pv. oryzicola		WHRI 5234					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-30		2							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354542	95.57	0.39
GCF_040202085.2	NCPPB5234_v2_ONT	Xanthomonas oryzae pv. oryzicola		WHRI 5234					GCF_040202085.2-RS_2024_08_31	Complete Genome	2024-08-31		2							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354542	95.57	0.39
GCA_000007145.1	ASM714v1	Xanthomonas campestris pv. campestris str. ATCC 33913		ATCC 33913					Annotation submitted by Sao Paulo state (Brazil) Consortium	Complete Genome	2002-05-24		1								SAMN02603845	98.67	0.77
GCF_000007145.1	ASM714v1	Xanthomonas campestris pv. campestris str. ATCC 33913		ATCC 33913					GCF_000007145.1-RS_2024_05_05	Complete Genome	2002-05-24		1								SAMN02603845	98.67	0.77
GCA_012848175.1	ASM1284817v1	Xanthomonas campestris pv. badrii		NEB122					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-27		1							PacBio RSII	SAMN14601050	94.18	2.96
GCF_012848175.1	ASM1284817v1	Xanthomonas campestris pv. badrii		NEB122					GCF_012848175.1-RS_2024_05_06	Complete Genome	2020-04-27		1							PacBio RSII	SAMN14601050	94.18	2.96
GCA_903978215.1	CFBP_2533	Xanthomonas hortorum pv. pelargonii		CFBP 2533			Kemp 41		Annotation submitted by Zurich University of Applied Sciences (ZHAW), School of Life Sciences and Facility Management, Institute of Natural Resource Sciences	Complete Genome	2020-08-06		3								SAMEA6962649	99.72	0.91
GCF_903978215.1	CFBP_2533	Xanthomonas hortorum pv. pelargonii		CFBP 2533			Kemp 41		GCF_903978215.1-RS_2024_05_06	Complete Genome	2020-08-06		3								SAMEA6962649	99.72	0.91
GCA_041228065.2	NCPPB3035v4_ONT	Xanthomonas phaseoli pv. phaseoli		NCPPB 3035					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-27		3							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN41997685	99.21	0.62
GCF_041228065.2	NCPPB3035v4_ONT	Xanthomonas phaseoli pv. phaseoli		NCPPB 3035					GCF_041228065.2-RS_2024_08_29	Complete Genome	2024-08-29		3							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN41997685	99.21	0.62
GCA_041486685.1	NCPPB581_v2_ONT	Xanthomonas axonopodis pv. poinsettiicola		NCPPB:581					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-26		2							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN42178463	98.31	1.22
GCF_041486685.1	NCPPB581_v2_ONT	Xanthomonas axonopodis pv. poinsettiicola		NCPPB:581					GCF_041486685.1-RS_2024_08_28	Complete Genome	2024-08-29		2							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN42178463	98.31	1.22
GCA_003015715.1	ASM301571v1	Xanthomonas vasicola pv. vasculorum		SAM119					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-03-26		1							PacBio; Illumina MiSeq	SAMN08739585	98.56	0.53
GCF_003015715.1	ASM301571v1	Xanthomonas vasicola pv. vasculorum		SAM119					GCF_003015715.1-RS_2024_05_05	Complete Genome	2018-03-26		1							PacBio; Illumina MiSeq	SAMN08739585	98.56	0.53
GCA_000770355.2	ASM77035v2	Xanthomonas vasicola pv. arecae		NCPPB 2649					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-27		2							PacBio Sequel	SAMN03140274	98.94	0.66
GCF_000770355.2	ASM77035v2	Xanthomonas vasicola pv. arecae		NCPPB 2649					GCF_000770355.2-RS_2024_05_06	Complete Genome	2018-12-27		2							PacBio Sequel	SAMN03140274	98.94	0.66
GCA_002139955.1	ASM213995v1	Xanthomonas citri pv. citri		TX160149					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-05-15		4							PacBio RSII	SAMN06685654	98.88	0.54
GCF_002139955.1	ASM213995v1	Xanthomonas citri pv. citri		TX160149					GCF_002139955.1-RS_2024_05_05	Complete Genome	2017-05-15		4							PacBio RSII	SAMN06685654	98.88	0.54
GCA_002139995.1	ASM213999v1	Xanthomonas citri pv. citri		TX160197					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-05-15		3							PacBio RSII	SAMN06685696	99.13	0.42
GCF_002139995.1	ASM213999v1	Xanthomonas citri pv. citri		TX160197					GCF_002139995.1-RS_2024_05_05	Complete Genome	2017-05-15		3							PacBio RSII	SAMN06685696	99.13	0.42
GCA_002139975.1	ASM213997v1	Xanthomonas citri pv. citri		TX160042					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-05-15		3							PacBio RSH	SAMN06685652	99.13	0.42
GCF_002139975.1	ASM213997v1	Xanthomonas citri pv. citri		TX160042					GCF_002139975.1-RS_2024_05_05	Complete Genome	2017-05-15		3							PacBio RSH	SAMN06685652	99.13	0.42
GCA_000961435.1	ASM96143v1	Xanthomonas citri pv. citri		AW13					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911848	98.45	0.5
GCF_000961435.1	ASM96143v1	Xanthomonas citri pv. citri		AW13					GCF_000961435.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911848	98.45	0.5
GCA_000961455.1	ASM96145v1	Xanthomonas citri pv. citri		AW14					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911849	98.45	0.5
GCF_000961455.1	ASM96145v1	Xanthomonas citri pv. citri		AW14					GCF_000961455.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911849	98.45	0.5
GCA_000961475.1	ASM96147v1	Xanthomonas citri pv. citri		AW15					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911850	98.45	0.5
GCF_000961475.1	ASM96147v1	Xanthomonas citri pv. citri		AW15					GCF_000961475.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911850	98.45	0.5
GCA_000961495.1	ASM96149v1	Xanthomonas citri pv. citri		AW16					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911851	98.45	0.5
GCF_000961495.1	ASM96149v1	Xanthomonas citri pv. citri		AW16					GCF_000961495.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911851	98.45	0.5
GCA_016801615.1	ASM1680161v1	Xanthomonas citri pv. citri		DAR84832					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-02		5							Oxford Nanopore MiniION; Illumina HiSeq	SAMN15814998	98.56	0.5
GCF_016801615.1	ASM1680161v1	Xanthomonas citri pv. citri		DAR84832					GCF_016801615.1-RS_2024_05_06	Complete Genome	2021-02-02		5							Oxford Nanopore MiniION; Illumina HiSeq	SAMN15814998	98.56	0.5
GCA_016801655.1	ASM1680165v1	Xanthomonas citri pv. citri		DAR73889					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-02		6							Oxford Nanopore MiniION; Illumina HiSeq	SAMN15815000	99	1.59
GCF_016801655.1	ASM1680165v1	Xanthomonas citri pv. citri		DAR73889					GCF_016801655.1-RS_2024_05_06	Complete Genome	2021-02-02		6							Oxford Nanopore MiniION; Illumina HiSeq	SAMN15815000	99	1.59
GCA_016801635.1	ASM1680163v1	Xanthomonas citri pv. citri		DAR73886					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-02		5							Oxford Nanopore MiniION; Illumina HiSeq	SAMN15814999	98.56	0.5
GCF_016801635.1	ASM1680163v1	Xanthomonas citri pv. citri		DAR73886					GCF_016801635.1-RS_2024_05_06	Complete Genome	2021-02-02		5							Oxford Nanopore MiniION; Illumina HiSeq	SAMN15814999	98.56	0.5
GCA_019076985.1	ASM1907698v1	Xanthomonas citri pv. citri		GD82					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-30		5							Illumina HiSeq	SAMN19021834	99.23	1.55
GCF_019076985.1	ASM1907698v1	Xanthomonas citri pv. citri		GD82					GCF_019076985.1-RS_2024_05_06	Complete Genome	2021-06-30		5							Illumina HiSeq	SAMN19021834	99.23	1.55
GCA_019434335.1	ASM1943433v1	Xanthomonas citri pv. citri		SN3-3					Annotation submitted by Academia Sinica	Complete Genome	2021-08-02		2							Oxford Nanopore;Illumina	SAMN15461541	98.84	0.5
GCF_019434335.1	ASM1943433v1	Xanthomonas citri pv. citri		SN3-3					GCF_019434335.1-RS_2024_05_06	Complete Genome	2021-08-02		2							Oxford Nanopore;Illumina	SAMN15461541	98.84	0.5
GCA_016801675.1	ASM1680167v1	Xanthomonas citri pv. citri		DAR72029					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-02		7							Oxford Nanopore MiniION; Illumina HiSeq	SAMN15815001	98.38	1.59
GCF_016801675.1	ASM1680167v1	Xanthomonas citri pv. citri		DAR72029					GCF_016801675.1-RS_2024_05_06	Complete Genome	2021-02-02		7							Oxford Nanopore MiniION; Illumina HiSeq	SAMN15815001	98.38	1.59
GCA_016801695.1	ASM1680169v1	Xanthomonas citri pv. citri		DAR73909					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-02		7							Oxford Nanopore MiniION; Illumina HiSeq	SAMN15815002	97.2	1.59
GCF_016801695.1	ASM1680169v1	Xanthomonas citri pv. citri		DAR73909					GCF_016801695.1-RS_2024_05_06	Complete Genome	2021-02-02		7							Oxford Nanopore MiniION; Illumina HiSeq	SAMN15815002	97.2	1.59
GCA_000961195.1	ASM96119v1	Xanthomonas citri pv. citri		NT17					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911844	98.86	0.37
GCF_000961195.1	ASM96119v1	Xanthomonas citri pv. citri		NT17					GCF_000961195.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911844	98.86	0.37
GCA_000961415.1	ASM96141v1	Xanthomonas citri pv. citri		5208					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911840	98.86	0.37
GCF_000961415.1	ASM96141v1	Xanthomonas citri pv. citri		5208					GCF_000961415.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911840	98.86	0.37
GCA_000961275.1	ASM96127v1	Xanthomonas citri pv. citri		mf20					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911847	98.86	0.37
GCF_000961275.1	ASM96127v1	Xanthomonas citri pv. citri		MF20					GCF_000961275.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911847	98.86	0.37
GCA_000961395.1	ASM96139v1	Xanthomonas citri pv. citri		BL18					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911845	98.86	0.37
GCF_000961395.1	ASM96139v1	Xanthomonas citri pv. citri		BL18					GCF_000961395.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911845	98.86	0.37
GCA_000961375.1	ASM96137v1	Xanthomonas citri pv. citri		FB19					Annotation submitted by Citrus Research and Education center, Univerisity of Florida	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911846	98.86	0.37
GCF_000961375.1	ASM96137v1	Xanthomonas citri pv. citri		FB19					GCF_000961375.1-RS_2024_05_05	Complete Genome	2015-03-24		3							Illumina CLC	SAMN02911846	98.86	0.37
GCA_001922065.1	ASM192206v1	Xanthomonas citri pv. citri		LH276					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-27		4							PacBio	SAMN05823145	98.88	1.51
GCF_001922065.1	ASM192206v1	Xanthomonas citri pv. citri		LH276					GCF_001922065.1-RS_2024_05_05	Complete Genome	2016-12-27		4							PacBio	SAMN05823145	98.88	1.51
GCA_001922045.1	ASM192204v1	Xanthomonas citri pv. citri		LL074-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-27		3							PacBio	SAMN05823143	99.04	1.43
GCF_001922045.1	ASM192204v1	Xanthomonas citri pv. citri		LL074-4					GCF_001922045.1-RS_2024_05_05	Complete Genome	2016-12-27		3							PacBio	SAMN05823143	99.04	1.43
