Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	CheckM completeness	CheckM contamination
GCF_027186325.1	ASM2718632v1	Xanthomonas citri pv. malvacearum		CFBP 2036					GCF_027186325.1-RS_2024_05_12	Complete Genome	2022-12-21		3							Oxford Nanopore GridION	97.39	0.5
GCA_002288565.1	ASM228856v1	Xanthomonas citri pv. malvacearum		AR81009					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-09-08		4							PacBio	98.97	0.5
GCF_002288565.1	ASM228856v1	Xanthomonas citri pv. malvacearum		AR81009					GCF_002288565.1-RS_2024_05_05	Complete Genome	2017-09-08		4							PacBio	98.97	0.5
GCA_018831345.1	ASM1883134v1	Xanthomonas citri		T21					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-10		2							PacBio	99.44	0.75
GCF_018831345.1	ASM1883134v1	Xanthomonas citri		T21					GCF_018831345.1-RS_2024_05_12	Complete Genome	2021-06-10		2							PacBio	99.44	0.75
GCA_009671025.1	ASM967102v1	Xanthomonas citri pv. malvacearum		HD-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-19		3							PacBio Sequel	98.35	0.37
GCF_009671025.1	ASM967102v1	Xanthomonas citri pv. malvacearum		HD-1					GCF_009671025.1-RS_2024_05_06	Complete Genome	2019-11-19		3							PacBio Sequel	98.35	0.37
GCA_040202935.2	ASM4020293v2	Xanthomonas citri pv. malvacearum		WHRI 10262					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-09-10		3							Illumina NovaSeq; Oxford Nanopore PromethION	99.26	0.5
GCF_040202935.2	ASM4020293v2	Xanthomonas citri pv. malvacearum		WHRI 10262					GCF_040202935.2-RS_2024_09_11	Complete Genome	2024-09-12		3							Illumina NovaSeq; Oxford Nanopore PromethION	99.26	0.5
GCA_027186285.1	ASM2718628v1	Xanthomonas citri pv. malvacearum		CFBP 2530					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-21		3							Oxford Nanopore GridION	97.44	0.37
GCF_027186285.1	ASM2718628v1	Xanthomonas citri pv. malvacearum		CFBP 2530					GCF_027186285.1-RS_2024_05_06	Complete Genome	2022-12-21		3							Oxford Nanopore GridION	97.44	0.37
GCA_002224545.1	ASM222454v1	Xanthomonas citri pv. malvacearum		XcmN1003					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-07-24		2							Pacific Biosciences	98.81	0.5
GCF_002224545.1	ASM222454v1	Xanthomonas citri pv. malvacearum		XcmN1003					GCF_002224545.1-RS_2024_05_05	Complete Genome	2017-07-24		2							Pacific Biosciences	98.81	0.5
GCA_002224525.1	ASM222452v1	Xanthomonas citri pv. malvacearum		XcmH1005					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-07-24		2							Pacific Biosciences	98.23	0.37
GCF_002224525.1	ASM222452v1	Xanthomonas citri pv. malvacearum		XcmH1005					GCF_002224525.1-RS_2024_05_05	Complete Genome	2017-07-24		2							Pacific Biosciences	98.23	0.37
GCA_019434355.1	ASM1943435v1	Xanthomonas citri		T4					Annotation submitted by Academia Sinica	Complete Genome	2021-08-02		3							Oxford Nanopore;Illumina	98.98	1.87
GCF_019434355.1	ASM1943435v1	Xanthomonas citri		T4					GCF_019434355.1-RS_2024_05_12	Complete Genome	2021-08-02		3							Oxford Nanopore;Illumina	98.98	1.87
GCA_027186305.1	ASM2718630v1	Xanthomonas citri pv. malvacearum		CFBP 2012					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-21		2							Oxford Nanopore GridION	96.97	0.37
GCF_027186305.1	ASM2718630v1	Xanthomonas citri pv. malvacearum		CFBP 2012					GCF_027186305.1-RS_2024_05_12	Complete Genome	2022-12-21		2							Oxford Nanopore GridION	96.97	0.37
GCA_016495605.1	ASM1649560v1	Xanthomonas citri		UnB-XtecTG02-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-05		1							Illumina HiSeq	99.47	0.51
GCF_016495605.1	ASM1649560v1	Xanthomonas citri		UnB-XtecTG02-2					GCF_016495605.1-RS_2024_05_06	Complete Genome	2021-01-05		1							Illumina HiSeq	99.47	0.51
GCA_015243835.1	ASM1524383v1	Xanthomonas citri		UnB-Xtec2D					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-05		1							Oxford Nanopore MiniION; Illumina HiSeq	99.47	0.51
GCF_015243835.1	ASM1524383v1	Xanthomonas citri		UnB-Xtec2D					GCF_015243835.1-RS_2024_05_06	Complete Genome	2020-11-05		1							Oxford Nanopore MiniION; Illumina HiSeq	99.47	0.51
GCA_018831365.1	ASM1883136v1	Xanthomonas citri		M11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-10		2							PacBio	99.63	0.25
GCF_018831365.1	ASM1883136v1	Xanthomonas citri		M11					GCF_018831365.1-RS_2024_05_06	Complete Genome	2021-06-10		2							PacBio	99.63	0.25
GCA_002288585.1	ASM228858v1	Xanthomonas citri pv. malvacearum		MS14003					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-09-08		4							PacBio	99.14	0.28
GCF_002288585.1	ASM228858v1	Xanthomonas citri pv. malvacearum		MS14003					GCF_002288585.1-RS_2024_05_05	Complete Genome	2017-09-08		4							PacBio	99.14	0.28
GCA_040202415.2	ASM4020241v2	Xanthomonas citri		WHRI 6104					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-09-10		4							Illumina NovaSeq; Oxford Nanopore PromethION	97.97	0.12
GCF_040202415.2	ASM4020241v2	Xanthomonas citri		WHRI 6104					GCF_040202415.2-RS_2024_09_11	Complete Genome	2024-09-12		4							Illumina NovaSeq; Oxford Nanopore PromethION	97.97	0.12
GCA_040285035.1	Xcm_TX4-attenuated_assembly	Xanthomonas citri pv. malvacearum		Xcm TX4-attenuated					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-06-24		4							PacBio Sequel	99.23	0.28
GCF_040285035.1	Xcm_TX4-attenuated_assembly	Xanthomonas citri pv. malvacearum		Xcm TX4-attenuated					GCF_040285035.1-RS_2024_06_25	Complete Genome	2024-06-25		4							PacBio Sequel	99.23	0.28
GCA_040285055.1	ASM4028505v1	Xanthomonas citri pv. malvacearum		Xcm TX4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-06-24		4							PacBio Sequel	99.23	0.28
GCF_040285055.1	ASM4028505v1	Xanthomonas citri pv. malvacearum		Xcm TX4					GCF_040285055.1-RS_2024_06_25	Complete Genome	2024-06-25		4							PacBio Sequel	99.23	0.28
GCA_040285045.1	ASM4028504v1	Xanthomonas citri pv. malvacearum		Xcm TX7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-06-24		4							PacBio Sequel	99.23	0.28
GCF_040285045.1	ASM4028504v1	Xanthomonas citri pv. malvacearum		Xcm TX7					GCF_040285045.1-RS_2024_06_25	Complete Genome	2024-06-25		4							PacBio Sequel	99.23	0.28
GCA_001719145.1	ASM171914v1	Xanthomonas citri pv. malvacearum		MSCT					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-06		4							Illumina MiSeq; PacBio; NanoPore	99.23	0.28
GCF_001719145.1	ASM171914v1	Xanthomonas citri pv. malvacearum		MSCT					GCF_001719145.1-RS_2024_05_05	Complete Genome	2016-09-06		4							Illumina MiSeq; PacBio; NanoPore	99.23	0.28
GCA_040284385.1	ASM4028438v1	Xanthomonas citri pv. malvacearum		Xcm TX9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-06-24		4							PacBio Sequel	98.98	0.28
