Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	CheckM completeness	CheckM contamination
GCF_028749785.1	ASM2874978v1	Xanthomonas campestris pv. campestris		08290					GCF_028749785.1-RS_2024_05_06	Complete Genome	2023-02-21		2							PacBio Sequel	97.92	1.4
GCA_028750035.1	ASM2875003v1	Xanthomonas campestris pv. campestris		08288					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	97.92	1.1
GCF_028750035.1	ASM2875003v1	Xanthomonas campestris pv. campestris		08288					GCF_028750035.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	97.92	1.1
GCA_028750375.1	ASM2875037v1	Xanthomonas campestris pv. campestris		11085					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	98.44	1.17
GCF_028750375.1	ASM2875037v1	Xanthomonas campestris pv. campestris		11085					GCF_028750375.1-RS_2024_05_06	Complete Genome	2023-02-21		2							PacBio Sequel	98.44	1.17
GCA_024298585.1	ASM2429858v1	Xanthomonas campestris pv. campestris		CN02						Complete Genome	2022-07-18		1							Oxford Nanopore GridION	97.57	1.21
GCF_024298585.1	ASM2429858v1	Xanthomonas campestris pv. campestris		CN02					GCF_024298585.1-RS_2024_05_06	Complete Genome	2022-07-18		1							Oxford Nanopore GridION	97.57	1.21
GCA_028750015.1	ASM2875001v1	Xanthomonas campestris pv. campestris		10103					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	97.79	1.59
GCF_028750015.1	ASM2875001v1	Xanthomonas campestris pv. campestris		10103					GCF_028750015.1-RS_2024_05_06	Complete Genome	2023-02-21		2							PacBio Sequel	97.79	1.59
GCA_025853835.1	ASM2585383v1	Xanthomonas campestris pv. campestris		XY1-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-26		2							Oxford Nanopore MinION; Illumina	98.52	1.76
GCF_025853835.1	ASM2585383v1	Xanthomonas campestris pv. campestris		XY1-1					GCF_025853835.1-RS_2024_05_06	Complete Genome	2022-10-26		2							Oxford Nanopore MinION; Illumina	98.52	1.76
GCA_000070605.1	ASM7060v1	Xanthomonas campestris pv. campestris		B100					Annotation submitted by Bielefeld Univ	Complete Genome	2008-02-12		1							Sanger dideoxy sequencing	99.27	0.84
GCF_000070605.1	ASM7060v1	Xanthomonas campestris pv. campestris		B100					GCF_000070605.1-RS_2024_05_05	Complete Genome	2008-02-12		1							Sanger dideoxy sequencing	99.27	0.84
GCA_002879955.1	ASM287995v1	Xanthomonas campestris pv. campestris		3811						Complete Genome	2018-01-15		1							PacBio; Illumina MiSeq	99.11	0.84
GCF_002879955.1	ASM287995v1	Xanthomonas campestris pv. campestris		3811					GCF_002879955.1-RS_2024_05_05	Complete Genome	2018-01-15		1							PacBio; Illumina MiSeq	99.11	0.84
GCA_040194315.2	ASM4019431v2	Xanthomonas campestris pv. campestris		WHRI 8956					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-30		1							Illumina NovaSeq; Oxford Nanopore PromethION	98.44	1.21
GCF_040194315.2	ASM4019431v2	Xanthomonas campestris pv. campestris		WHRI 8956					GCF_040194315.2-RS_2024_08_31	Complete Genome	2024-08-31		1							Illumina NovaSeq; Oxford Nanopore PromethION	98.44	1.21
GCA_028749805.1	ASM2874980v1	Xanthomonas campestris pv. campestris		13108G					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	99.02	1.51
GCF_028749805.1	ASM2874980v1	Xanthomonas campestris pv. campestris		13108G					GCF_028749805.1-RS_2024_05_06	Complete Genome	2023-02-21		2							PacBio Sequel	99.02	1.51
GCA_028750435.1	ASM2875043v1	Xanthomonas campestris pv. campestris		55-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	99.2	1.08
GCF_028750435.1	ASM2875043v1	Xanthomonas campestris pv. campestris		55-1					GCF_028750435.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	99.2	1.08
GCA_028751465.1	ASM2875146v1	Xanthomonas campestris pv. campestris		54-3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	99.15	1.08
GCF_028751465.1	ASM2875146v1	Xanthomonas campestris pv. campestris		54-3					GCF_028751465.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	99.15	1.08
GCA_028750455.1	ASM2875045v1	Xanthomonas campestris pv. campestris		55-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	98.87	1.08
GCF_028750455.1	ASM2875045v1	Xanthomonas campestris pv. campestris		55-2					GCF_028750455.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	98.87	1.08
GCA_009177345.1	ASM917734v1	Xanthomonas campestris pv. campestris		MAFF302021					Annotation submitted by Institute of Agrobiological Sciences, NARO	Complete Genome	2019-10-02		1							PacBio RSII	96.61	0.73
GCF_009177345.1	ASM917734v1	Xanthomonas campestris pv. campestris		MAFF302021					GCF_009177345.1-RS_2024_05_06	Complete Genome	2019-10-02		1							PacBio RSII	96.61	0.73
GCA_028751375.1	ASM2875137v1	Xanthomonas campestris pv. campestris		39-3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	98.84	1.33
GCF_028751375.1	ASM2875137v1	Xanthomonas campestris pv. campestris		39-3					GCF_028751375.1-RS_2024_05_12	Complete Genome	2023-02-21		2							PacBio Sequel	98.84	1.33
GCA_028749825.1	ASM2874982v1	Xanthomonas campestris pv. campestris		12112					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		4							PacBio Sequel	98.77	1.56
GCF_028749825.1	ASM2874982v1	Xanthomonas campestris pv. campestris		12112					GCF_028749825.1-RS_2024_05_12	Complete Genome	2023-02-21		4							PacBio Sequel	98.77	1.56
GCA_028750395.1	ASM2875039v1	Xanthomonas campestris pv. campestris		10006					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		3							PacBio Sequel	99.13	1.4
GCF_028750395.1	ASM2875039v1	Xanthomonas campestris pv. campestris		10006					GCF_028750395.1-RS_2024_05_12	Complete Genome	2023-02-21		3							PacBio Sequel	99.13	1.4
GCA_028750355.1	ASM2875035v1	Xanthomonas campestris pv. campestris		10008					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		3							PacBio Sequel	99.17	1.4
GCF_028750355.1	ASM2875035v1	Xanthomonas campestris pv. campestris		10008					GCF_028750355.1-RS_2024_05_12	Complete Genome	2023-02-21		3							PacBio Sequel	99.17	1.4
GCA_028751215.1	ASM2875121v1	Xanthomonas campestris pv. campestris		66-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	97.89	1.01
GCF_028751215.1	ASM2875121v1	Xanthomonas campestris pv. campestris		66-2					GCF_028751215.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	97.89	1.01
GCA_024298625.1	ASM2429862v1	Xanthomonas campestris pv. campestris		CN06						Complete Genome	2022-07-18		2							Oxford Nanopore GridION	97.44	1.12
GCF_024298625.1	ASM2429862v1	Xanthomonas campestris pv. campestris		CN06					GCF_024298625.1-RS_2024_05_06	Complete Genome	2022-07-18		2							Oxford Nanopore GridION	97.44	1.12
GCA_028749705.1	ASM2874970v1	Xanthomonas campestris pv. campestris		CFBP12825					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	99.25	1.32
GCF_028749705.1	ASM2874970v1	Xanthomonas campestris pv. campestris		CFBP12825					GCF_028749705.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	99.25	1.32
GCA_028751255.1	ASM2875125v1	Xanthomonas campestris pv. campestris		33-5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	98.11	1.01
GCF_028751255.1	ASM2875125v1	Xanthomonas campestris pv. campestris		33-5					GCF_028751255.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	98.11	1.01
GCA_023206795.1	ASM2320679v1	Xanthomonas campestris pv. campestris		GBBC1458					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-05-02		1							Illumina MiniSeq	99.12	0.8
GCF_023206795.1	ASM2320679v1	Xanthomonas campestris pv. campestris		GBBC1458					GCF_023206795.1-RS_2024_05_12	Complete Genome	2022-05-02		1							Illumina MiniSeq	99.12	0.8
GCA_028751295.1	ASM2875129v1	Xanthomonas campestris pv. campestris		33-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	98.4	1.01
GCF_028751295.1	ASM2875129v1	Xanthomonas campestris pv. campestris		33-2					GCF_028751295.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	98.4	1.01
GCA_028751275.1	ASM2875127v1	Xanthomonas campestris pv. campestris		33-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	98.41	1.01
GCF_028751275.1	ASM2875127v1	Xanthomonas campestris pv. campestris		33-4					GCF_028751275.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	98.41	1.01
GCA_028750155.1	ASM2875015v1	Xanthomonas campestris pv. campestris		08305					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	98.83	1.1
GCF_028750155.1	ASM2875015v1	Xanthomonas campestris pv. campestris		08305					GCF_028750155.1-RS_2024_05_06	Complete Genome	2023-02-21		2							PacBio Sequel	98.83	1.1
GCA_028751235.1	ASM2875123v1	Xanthomonas campestris pv. campestris		42-3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	98.41	1.01
GCF_028751235.1	ASM2875123v1	Xanthomonas campestris pv. campestris		42-3					GCF_028751235.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	98.41	1.01
GCA_028751435.1	ASM2875143v1	Xanthomonas campestris pv. campestris		30-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	98.29	1.01
GCF_028751435.1	ASM2875143v1	Xanthomonas campestris pv. campestris		30-1					GCF_028751435.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	98.29	1.01
GCA_040194035.2	ASM4019403v2	Xanthomonas campestris pv. campestris		WHRI 5812					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-30		1							Illumina NovaSeq; Oxford Nanopore PromethION	99.24	1.13
GCF_040194035.2	ASM4019403v2	Xanthomonas campestris pv. campestris		WHRI 5812					GCF_040194035.2-RS_2024_08_31	Complete Genome	2024-08-31		1							Illumina NovaSeq; Oxford Nanopore PromethION	99.24	1.13
GCA_024298645.1	ASM2429864v1	Xanthomonas campestris pv. campestris		CN08						Complete Genome	2022-07-18		2							Oxford Nanopore GridION	97.77	1.42
GCF_024298645.1	ASM2429864v1	Xanthomonas campestris pv. campestris		CN08					GCF_024298645.1-RS_2024_05_06	Complete Genome	2022-07-18		2							Oxford Nanopore GridION	97.77	1.42
GCA_024298665.1	ASM2429866v1	Xanthomonas campestris pv. campestris		CN13						Complete Genome	2022-07-18		2							Oxford Nanopore GridION	97.9	1.83
GCF_024298665.1	ASM2429866v1	Xanthomonas campestris pv. campestris		CN13					GCF_024298665.1-RS_2024_05_12	Complete Genome	2022-07-18		2							Oxford Nanopore GridION	97.9	1.83
GCA_028749905.1	ASM2874990v1	Xanthomonas campestris pv. campestris		08284					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	97.61	1.18
GCF_028749905.1	ASM2874990v1	Xanthomonas campestris pv. campestris		08284					GCF_028749905.1-RS_2024_05_06	Complete Genome	2023-02-21		2							PacBio Sequel	97.61	1.18
GCA_028751505.1	ASM2875150v1	Xanthomonas campestris pv. campestris		54-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	99.11	0.93
GCF_028751505.1	ASM2875150v1	Xanthomonas campestris pv. campestris		54-2					GCF_028751505.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	99.11	0.93
GCA_040194335.2	ASM4019433v2	Xanthomonas campestris pv. campestris		WHRI 3834A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-30		1							Illumina NovaSeq; Oxford Nanopore PromethION	99.24	1.13
GCF_040194335.2	ASM4019433v2	Xanthomonas campestris pv. campestris		WHRI 3834A					GCF_040194335.2-RS_2024_08_31	Complete Genome	2024-08-31		1							Illumina NovaSeq; Oxford Nanopore PromethION	99.24	1.13
GCA_028750615.1	ASM2875061v1	Xanthomonas campestris pv. campestris		42-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	98.96	1.34
GCF_028750615.1	ASM2875061v1	Xanthomonas campestris pv. campestris		42-2					GCF_028750615.1-RS_2024_05_12	Complete Genome	2023-02-21		2							PacBio Sequel	98.96	1.34
GCA_028750635.1	ASM2875063v1	Xanthomonas campestris pv. campestris		42-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	98.91	1.04
GCF_028750635.1	ASM2875063v1	Xanthomonas campestris pv. campestris		42-4					GCF_028750635.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	98.91	1.04
GCA_028750655.1	ASM2875065v1	Xanthomonas campestris pv. campestris		42-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	98.96	1.34
GCF_028750655.1	ASM2875065v1	Xanthomonas campestris pv. campestris		42-1					GCF_028750655.1-RS_2024_05_12	Complete Genome	2023-02-21		2							PacBio Sequel	98.96	1.34
GCA_021777195.1	ASM2177719v1	Xanthomonas campestris pv. campestris		GSXT20191014					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-02-01		1							Oxford Nanopore	98.56	1.21
GCF_021777195.1	ASM2177719v1	Xanthomonas campestris pv. campestris		GSXT20191014					GCF_021777195.1-RS_2024_05_06	Complete Genome	2022-02-01		1							Oxford Nanopore	98.56	1.21
GCA_028751315.1	ASM2875131v1	Xanthomonas campestris pv. campestris		33-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	99.05	1.34
GCF_028751315.1	ASM2875131v1	Xanthomonas campestris pv. campestris		33-1					GCF_028751315.1-RS_2024_05_06	Complete Genome	2023-02-21		2							PacBio Sequel	99.05	1.34
GCA_028749545.1	ASM2874954v1	Xanthomonas campestris pv. campestris		CFBP6943					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	98.81	1.72
GCF_028749545.1	ASM2874954v1	Xanthomonas campestris pv. campestris		CFBP6943					GCF_028749545.1-RS_2024_05_12	Complete Genome	2023-02-21		2							PacBio Sequel	98.81	1.72
GCA_028751355.1	ASM2875135v1	Xanthomonas campestris pv. campestris		29-5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	99.18	0.88
GCF_028751355.1	ASM2875135v1	Xanthomonas campestris pv. campestris		29-5					GCF_028751355.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	99.18	0.88
GCA_028751335.1	ASM2875133v1	Xanthomonas campestris pv. campestris		29-6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	99.18	0.88
GCF_028751335.1	ASM2875133v1	Xanthomonas campestris pv. campestris		29-6					GCF_028751335.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	99.18	0.88
GCA_024298605.1	ASM2429860v1	Xanthomonas campestris pv. campestris		CN05						Complete Genome	2022-07-18		2							Oxford Nanopore GridION	96.29	1.31
GCF_024298605.1	ASM2429860v1	Xanthomonas campestris pv. campestris		CN05					GCF_024298605.1-RS_2024_05_06	Complete Genome	2022-07-18		2							Oxford Nanopore GridION	96.29	1.31
GCA_028750555.1	ASM2875055v1	Xanthomonas campestris pv. campestris		27-6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	99.18	0.88
GCF_028750555.1	ASM2875055v1	Xanthomonas campestris pv. campestris		27-6					GCF_028750555.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	99.18	0.88
GCA_028750415.1	ASM2875041v1	Xanthomonas campestris pv. campestris		28-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	99.18	0.88
GCF_028750415.1	ASM2875041v1	Xanthomonas campestris pv. campestris		28-1					GCF_028750415.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	99.18	0.88
GCA_028750595.1	ASM2875059v1	Xanthomonas campestris pv. campestris		15-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	99.12	0.88
GCF_028750595.1	ASM2875059v1	Xanthomonas campestris pv. campestris		15-1					GCF_028750595.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	99.12	0.88
GCA_028750535.1	ASM2875053v1	Xanthomonas campestris pv. campestris		27-9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	99.12	0.88
GCF_028750535.1	ASM2875053v1	Xanthomonas campestris pv. campestris		27-9					GCF_028750535.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	99.12	0.88
GCA_028750575.1	ASM2875057v1	Xanthomonas campestris pv. campestris		25-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	99.18	0.88
GCF_028750575.1	ASM2875057v1	Xanthomonas campestris pv. campestris		25-4					GCF_028750575.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	99.18	0.88
GCA_028750515.1	ASM2875051v1	Xanthomonas campestris pv. campestris		27-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	99.18	0.88
GCF_028750515.1	ASM2875051v1	Xanthomonas campestris pv. campestris		27-10					GCF_028750515.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	99.18	0.88
GCA_028751395.1	ASM2875139v1	Xanthomonas campestris pv. campestris		40-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	99.15	0.88
GCF_028751395.1	ASM2875139v1	Xanthomonas campestris pv. campestris		40-2					GCF_028751395.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	99.15	0.88
GCA_040193835.2	ASM4019383v2	Xanthomonas campestris pv. campestris		WHRI 8955					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-30		1							Illumina NovaSeq; Oxford Nanopore PromethION	99.31	0.9
GCF_040193835.2	ASM4019383v2	Xanthomonas campestris pv. campestris		WHRI 8955					GCF_040193835.2-RS_2024_08_31	Complete Genome	2024-08-31		1							Illumina NovaSeq; Oxford Nanopore PromethION	99.31	0.9
GCA_001186415.1	ASM118641v1	Xanthomonas campestris pv. campestris		ICMP 21080					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-07-24		1							Illumina HiSeq	98.1	0.8
GCF_001186415.1	ASM118641v1	Xanthomonas campestris pv. campestris		ICMP 21080					GCF_001186415.1-RS_2024_05_05	Complete Genome	2015-07-24		1							Illumina HiSeq	98.1	0.8
GCA_001186465.1	ASM118646v1	Xanthomonas campestris pv. campestris		ICMP 4013					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-07-24		1							Illumina HiSeq	97.84	1.02
GCF_001186465.1	ASM118646v1	Xanthomonas campestris pv. campestris		ICMP 4013					GCF_001186465.1-RS_2024_05_05	Complete Genome	2015-07-24		1							Illumina HiSeq	97.84	1.02
GCA_028750075.1	ASM2875007v1	Xanthomonas campestris		11-19					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	97.53	1.4
GCF_028750075.1	ASM2875007v1	Xanthomonas campestris		11-19					GCF_028750075.1-RS_2024_09_01	Complete Genome	2023-02-21		1							PacBio Sequel	97.53	1.4
GCA_030062435.1	ASM3006243v1	Xanthomonas campestris		TJ						Complete Genome	2023-05-22		2							Oxford Nanopore PromethION; MGISEQ-2000	99.38	1.51
GCF_030062435.1	ASM3006243v1	Xanthomonas campestris		TJ					GCF_030062435.1-RS_2024_05_12	Complete Genome	2023-05-22		2							Oxford Nanopore PromethION; MGISEQ-2000	99.38	1.51
